"MASTER_TAXON_ID","ALTERNATIVE_SCI_NAME","ALTERNATIVE_RANK_ID","ALTERNATIVE_RANK_NAME","CURRENT_SCI_NAME","CURRENT_RANK_ID","CURRENT_RANK_NAME","SORT_ORDER_IOC","NUMBER_OF_LISTS"
81349,"Emberiza schoeniclus wytherbi",110,"Subspecies","Emberiza schoeniclus witherbyi",110,"Subspecies",309630,1
1177,"Emberiza sp",100,"Species","Emberiza sp.",90,"Subgenus (non-standard)",309730,1
81362,"Passerella iliaca unalaschcensis",110,"Subspecies","Passerella unalaschcensis unalaschcensis",110,"Subspecies",309820,1
81366,"Passerella iliaca townsendi",110,"Subspecies","Passerella unalaschcensis townsendi",110,"Subspecies",309830,1
81368,"Passerella iliaca fuliginosa",110,"Subspecies","Passerella unalaschcensis fuliginosa",110,"Subspecies",309840,1
81365,"Passerella iliaca annectens",110,"Subspecies","Passerella unalaschcensis annectens",110,"Subspecies",309850,1
81363,"Passerella iliaca insularis",110,"Subspecies","Passerella unalaschcensis insularis",110,"Subspecies",309860,1
81364,"Passerella iliaca sinuosa",110,"Subspecies","Passerella unalaschcensis sinuosa",110,"Subspecies",309870,1
81367,"Passerella iliaca chilcatensis",110,"Subspecies","Passerella unalaschcensis chilcatensis",110,"Subspecies",309880,1
81371,"Passerella iliaca schistacea",110,"Subspecies","Passerella schistacea schistacea",110,"Subspecies",309900,1
81374,"Passerella iliaca altivagans",110,"Subspecies","Passerella schistacea altivagans",110,"Subspecies",309910,1
81373,"Passerella iliaca canescens",110,"Subspecies","Passerella schistacea canescens",110,"Subspecies",309920,1
81370,"Passerella iliaca olivacea",110,"Subspecies","Passerella schistacea olivacea",110,"Subspecies",309930,1
81372,"Passerella iliaca swarthi",110,"Subspecies","Passerella schistacea swarthi",110,"Subspecies",309940,1
81369,"Passerella iliaca megarhyncha",110,"Subspecies","Passerella megarhyncha",100,"Species",309950,1
81388,"Melospiza melodia samuelis",110,"Subspecies","Melospiza melodia samuelsis",110,"Subspecies",310080,1
81468,"Junco phaeonotus bairdi",110,"Subspecies","Junco bairdi",100,"Species",310930,1
81538,"Spizella arborea",100,"Species","Spizelloides arborea",100,"Species",311600,2
81539,"Spizella arborea ochracea",110,"Subspecies","Spizelloides arborea ochracea",110,"Subspecies",311610,1
81540,"Spizella arborea arborea",110,"Subspecies","Spizelloides arborea arborea",110,"Subspecies",311620,1
83984,"Amphispiza belli",100,"Species","Artemisiospiza belli",100,"Species",312080,1
81702,"Melozone fuscus",100,"Species","Melozone fusca",100,"Species",313210,1
81825,"Atlapetes albofrenatus meridae",110,"Subspecies","Atlapetes meridae",100,"Species",314360,1
81860,"Atlapetes latinuchus nigrifrons",110,"Subspecies","Atlapetes nigrifrons",100,"Species",314770,1
81907,"Chlorospingus ophthalmicus",100,"Species","Chlorospingus flavopectus",100,"Species",315140,1
81180,"Sturnella magna quinta",110,"Subspecies","Sturnella magna monticola",110,"Subspecies",316320,1
81155,"Sturnella militaris",100,"Species","Leistes militaris",100,"Species",316370,3
81156,"Sturnella superciliaris",100,"Species","Leistes superciliaris",100,"Species",316380,3
81157,"Sturnella bellicosa",100,"Species","Leistes bellicosus",100,"Species",316390,3
